Feature,Importance
tenure_months,0.13528347288789977
csat_score,0.13403795618777323
monthly_logins,0.10796708242695499
avg_session_time,0.07686458478925022
payment_failures,0.0751878874814318
avg_resolution_time,0.057642483000358145
last_login_days_ago,0.05444846210136935
total_revenue,0.03954114426088802
usage_growth_rate,0.03647303027694555
marketing_click_rate,0.03644171050419369
age,0.03327651863916829
email_open_rate,0.03170172030411813
nps_score,0.03083472869069756
avg_monthly_revenue,0.026157921849161644
features_used,0.023329302748220482
tickets_per_tenure,0.02259498756711377
weekly_active_days,0.016682727757520457
referral_count,0.006078492507230346
support_tickets,0.0049236698242635666
customer_segment_SME,0.0046751580477470064
